trip_id,distance_level_5,distance_level_4,distance_level_3,distance_level_2,distance_level_1,avg_fuel_consumption
2023.02:1,150,290,400,,,
2023.04:1,170,297,,,,
2023.07:1,187,340,,,,
2023.09:1,156,280,418,,,5.3
2023.10:1,,287,390,,,5.6
2023.11:1,165,,395,,,5
2023.12:1,133,245,325,427,519,6.2
2023.12:2,132,270,374,,,5.7
2024.01:1,177,324,,,,4.7
2024.02:1,167,277,354,,,5.7
2024.02:2,181.8,318.8,416.8,540,,5
2024.03:1,152,265.5,366,,,
2024.03:2,168.3,315.5,,,,5.1
2024.04:1,137,240,332,464,570,5.7
2024.04:2,180,287,398,,,4.9
2024.05:1,155,,,,,5
2024.06:1,166.7,289.8,,,,5.6
2024.06:2,128,184,307,406,,4.2
2024.07:2,105,248,377,,,5.4
2024.08:1,176,299.7,,,,5.1
2024.08:2,162,291,364,,,5.5
2024.08:3,153,269,395,,,5.2
2024.08:4,130,276,362,489,592,5.5
2024.08:5,140,285,377,,,
